job,block,n,category,arm,tfhe_key,sequence,phase,expected_id,query_seconds,decoded_id,input_index,absolute_error,max_other_slots,decryption_seconds,encryption_seconds,stage_score_seconds,stage_layout_seconds,stage_comparison_seconds,stage_product_seconds,stage_output_seconds
06-block1-n128-tfhe-after,1,128,general,tfhe-after,1,4,measured,128,2.529926625,128,35,,,,,,,,,
06-block1-n128-tfhe-after,1,128,aligned,tfhe-after,1,5,measured,128,2.7085255,128,29,,,,,,,,,
06-block1-n128-tfhe-after,1,128,mixed,tfhe-after,1,6,measured,128,3.019594167,128,42,,,,,,,,,
06-block1-n128-tfhe-after,1,128,general,tfhe-after,1,7,measured,128,2.568610084,128,36,,,,,,,,,
06-block1-n128-tfhe-after,1,128,aligned,tfhe-after,1,8,measured,128,2.651705708,128,30,,,,,,,,,
06-block1-n128-tfhe-after,1,128,mixed,tfhe-after,1,9,measured,128,2.781395875,128,43,,,,,,,,,
06-block1-n128-tfhe-after,1,128,general,tfhe-after,1,10,measured,128,2.869519792,128,37,,,,,,,,,
06-block1-n128-tfhe-after,1,128,aligned,tfhe-after,1,11,measured,128,2.612390708,128,31,,,,,,,,,
07-block2-n128-tfhe-before,2,128,aligned,tfhe-before,2,0,warmup,128,2.602402167,128,27,,,,,,,,,
07-block2-n128-tfhe-before,2,128,general,tfhe-before,2,1,warmup,128,2.530884959,128,33,,,,,,,,,
07-block2-n128-tfhe-before,2,128,mixed,tfhe-before,2,2,warmup,128,2.906668,128,39,,,,,,,,,
07-block2-n128-tfhe-before,2,128,aligned,tfhe-before,2,3,measured,128,2.624087667,128,29,,,,,,,,,
07-block2-n128-tfhe-before,2,128,general,tfhe-before,2,4,measured,128,2.653214208,128,35,,,,,,,,,
07-block2-n128-tfhe-before,2,128,mixed,tfhe-before,2,5,measured,128,2.8366155,128,41,,,,,,,,,
07-block2-n128-tfhe-before,2,128,aligned,tfhe-before,2,6,measured,128,2.609564375,128,30,,,,,,,,,
07-block2-n128-tfhe-before,2,128,general,tfhe-before,2,7,measured,128,2.729414625,128,36,,,,,,,,,
07-block2-n128-tfhe-before,2,128,mixed,tfhe-before,2,8,measured,128,2.764790917,128,42,,,,,,,,,
07-block2-n128-tfhe-before,2,128,aligned,tfhe-before,2,9,measured,128,2.655558625,128,31,,,,,,,,,
07-block2-n128-tfhe-before,2,128,general,tfhe-before,2,10,measured,128,2.634734959,128,37,,,,,,,,,
07-block2-n128-tfhe-before,2,128,mixed,tfhe-before,2,11,measured,128,2.848974083,128,43,,,,,,,,,
08-block2-n128-ckks,2,128,aligned,ckks,2,0,warmup,128,3.3188245,128,,0.0007521062657076527,2.2129717597033933e-05,0.010371875,0.081858416,0.544785,1.02727825,1.515700417,0.139698333,0.091362
08-block2-n128-ckks,2,128,general,ckks,2,1,warmup,128,3.316444334,128,,0.0038900711226688145,0.00010460336543746515,0.0103,0.0772665,0.524795834,1.008088417,1.553086667,0.139861709,0.0906115
08-block2-n128-ckks,2,128,mixed,ckks,2,2,warmup,128,3.300213125,128,,0.0021174300081270303,5.527036284565211e-05,0.00841725,0.075970541,0.531817834,1.010367792,1.52944,0.139607792,0.088979209
08-block2-n128-ckks,2,128,aligned,ckks,2,3,measured,128,3.337283667,128,,0.004648910603918921,1.4188144781003679e-05,0.010608625,0.076853459,0.5227315,1.025222667,1.555773417,0.143135584,0.09042
08-block2-n128-ckks,2,128,general,ckks,2,4,measured,128,3.4715725,128,,0.002165084443475962,1.5522587061980468e-05,0.010000625,0.0760135,0.533750083,1.117119875,1.551750667,0.172978791,0.095972708
08-block2-n128-ckks,2,128,mixed,ckks,2,5,measured,128,3.348498792,128,,0.001201217611736638,2.4945630460541936e-05,0.009171,0.081291583,0.554961709,1.039411459,1.524577875,0.139602292,0.089945
08-block2-n128-ckks,2,128,aligned,ckks,2,6,measured,128,3.390905917,128,,0.001924568097251722,1.6402251733252776e-05,0.009587833,0.076389167,0.54771375,1.032497041,1.56357175,0.150025917,0.097097167
08-block2-n128-ckks,2,128,general,ckks,2,7,measured,128,3.418063083,128,,0.005258025276873468,4.356538226868467e-05,0.009742542,0.084890625,0.548513333,1.093679625,1.5440335,0.141680542,0.090155792
08-block2-n128-ckks,2,128,mixed,ckks,2,8,measured,128,3.288090916,128,,0.002165287154411999,5.1307111605968664e-05,0.009130459,0.076209125,0.530614208,1.012543833,1.505968083,0.144645958,0.094318541
08-block2-n128-ckks,2,128,aligned,ckks,2,9,measured,128,3.32749175,128,,0.0024883151704813145,2.0599155195464997e-05,0.008856833,0.078555459,0.526291833,1.019354666,1.550153833,0.142420542,0.089270458
08-block2-n128-ckks,2,128,general,ckks,2,10,measured,128,3.306176875,128,,0.0018719130854947252,4.2157408603337996e-05,0.008701083,0.075920042,0.526121542,1.021257458,1.526424083,0.139317833,0.093055583
08-block2-n128-ckks,2,128,mixed,ckks,2,11,measured,128,3.270814667,128,,0.002218484223590167,2.6642422362301363e-05,0.009233375,0.081468833,0.529252958,1.015343625,1.494103,0.138763083,0.093351583
09-block2-n128-tfhe-after,2,128,aligned,tfhe-after,2,0,warmup,128,2.844319708,128,27,,,,,,,,,
09-block2-n128-tfhe-after,2,128,general,tfhe-after,2,1,warmup,128,2.560172584,128,33,,,,,,,,,
09-block2-n128-tfhe-after,2,128,mixed,tfhe-after,2,2,warmup,128,3.1548615,128,39,,,,,,,,,
09-block2-n128-tfhe-after,2,128,aligned,tfhe-after,2,3,measured,128,2.693139291,128,29,,,,,,,,,
09-block2-n128-tfhe-after,2,128,general,tfhe-after,2,4,measured,128,2.585630625,128,35,,,,,,,,,
09-block2-n128-tfhe-after,2,128,mixed,tfhe-after,2,5,measured,128,2.680815042,128,41,,,,,,,,,
09-block2-n128-tfhe-after,2,128,aligned,tfhe-after,2,6,measured,128,2.787037792,128,30,,,,,,,,,
09-block2-n128-tfhe-after,2,128,general,tfhe-after,2,7,measured,128,2.645364583,128,36,,,,,,,,,
09-block2-n128-tfhe-after,2,128,mixed,tfhe-after,2,8,measured,128,3.039397667,128,42,,,,,,,,,
